 month caisson hours
810 1999-07-01 5 151317
811 1999-08-01 5 190811
812 1999-09-01 5 154421
813 1999-10-01 5 156645
814 1999-11-01 5 158950
815 1999-12-01 5 201480
816 2000-01-01 5 162971
817 2000-02-01 5 205869
818 2000-03-01 5 166782
819 2000-04-01 5 168444
820 2000-05-01 5 212716
821 2000-06-01 5 171724
822 2000-07-01 5 173008
823 2000-08-01 5 217965
824 2000-09-01 5 175914
825 2000-10-01 5 177350
826 2000-11-01 5 223242
827 2000-12-01 5 179841
828 2001-01-01 5 226003
829 2001-02-01 5 182023
830 2001-03-01 5 183045
831 2001-04-01 5 183815
832 2001-05-01 5 230873
833 2001-06-01 5 185497
834 2001-07-01 5 186430
835 2001-08-01 5 187162
836 2001-09-01 5 187904
837 2001-10-01 5 236316
838 2001-11-01 5 190228
839 2001-12-01 5 143248
840 2002-01-01 5 47903
841 2002-02-01 5 192698
842 2002-03-01 5 193359
843 2002-04-01 5 242457
844 2002-05-01 5 194580
845 2002-06-01 5 195139
846 2002-07-01 5 195737
847 2002-08-01 5 196344
848 2002-09-01 5 197000
849 2002-10-01 5 247265
850 2002-11-01 5 148963
851 2002-12-01 5 249351
852 2003-01-01 5 200163
853 2003-02-01 5 200731
854 2003-03-01 5 251638
855 2003-04-01 5 201849
856 2003-05-01 5 202378
857 2003-06-01 5 202931
858 2003-07-01 5 254563
859 2003-08-01 5 204264
860 2003-09-01 5 256146
861 2003-10-01 5 205591
862 2003-11-01 5 206159
863 2003-12-01 5 258479
864 2004-01-01 5 207565
865 2004-02-01 5 208175
866 2004-03-01 5 260865
867 2004-04-01 5 209166
868 2004-05-01 5 262022
869 2004-06-01 5 157541
870 2004-07-01 5 210522
871 2004-08-01 5 263727
872 2004-09-01 5 211366
873 2004-10-01 5 212022
874 2004-11-01 5 265793
875 2004-12-01 5 213093
876 2005-01-01 5 267140
877 2005-02-01 5 214189
878 2005-03-01 5 214595
879 2005-04-01 5 268698
880 2005-05-01 5 215485
881 2005-06-01 5 270050
882 2005-07-01 5 216867
883 2005-08-01 5 271923
884 2005-09-01 5 272482
885 2005-10-01 5 273197
886 2005-11-01 5 273814
887 2005-12-01 5 219461
888 2006-01-01 5 274990
889 2006-02-01 5 220392
890 2006-03-01 5 275884
891 2006-04-01 5 221067
892 2006-05-01 5 276827
893 2006-06-01 5 332822
894 2006-07-01 5 222458
895 2006-08-01 5 222971
896 2006-09-01 5 279271
897 2006-10-01 5 279992
898 2006-11-01 5 280523
899 2006-12-01 5 280976
900 2007-01-01 5 281448
901 2007-02-01 5 281808
902 2007-03-01 5 338560
903 2007-04-01 5 225940
904 2007-05-01 5 282828
905 2007-06-01 5 283122
906 2007-07-01 5 226806
907 2007-08-01 5 283789
908 2007-09-01 5 227311
909 2007-10-01 5 284471
910 2007-11-01 5 341721
911 2007-12-01 5 228044
912 2008-01-01 5 285541
913 2008-02-01 5 342997
914 2008-03-01 5 343362
915 2008-04-01 5 229097
916 2008-05-01 5 286571
917 2008-06-01 5 286882
918 2008-07-01 5 172320
919 2008-08-01 5 287390
920 2008-09-01 5 287710
921 2008-10-01 5 288009
922 2008-11-01 5 230689
923 2008-12-01 5 346455
924 2009-01-01 5 231192
925 2009-02-01 5 231455
926 2009-03-01 5 231703
927 2009-04-01 5 289822
928 2009-05-01 5 232022
929 2009-06-01 5 290208
930 2009-07-01 5 290383
931 2009-08-01 5 290620
932 2009-09-01 5 232707
933 2009-10-01 5 291102
934 2009-11-01 5 291438
935 2009-12-01 5 233417
936 2010-01-01 5 116816
937 2010-02-01 5 233812
938 2010-03-01 5 292509
939 2010-04-01 5 234200
940 2010-05-01 5 292987
941 2010-06-01 5 293233
942 2010-07-01 5 293485
943 2010-08-01 5 293842
944 2010-09-01 5 294233
945 2010-10-01 5 294686
946 2010-11-01 5 295245
947 2010-12-01 5 236683
948 2011-01-01 5 297143
949 2011-02-01 5 242267
950 2011-03-01 5 15344
951 2011-04-01 5 15949
952 2011-05-01 5 20681
953 2011-06-01 5 21365
954 2011-07-01 5 17814
955 2011-08-01 5 22969
956 2011-09-01 5 23653
957 2011-10-01 5 24517
958 2011-11-01 5 20262
959 2011-12-01 5 26136
960 2012-01-01 5 27383
961 2012-02-01 5 33833
962 2012-03-01 5 23412
963 2012-04-01 5 30052
964 2012-05-01 5 24550
965 2012-06-01 5 25065
966 2012-07-01 5 32066
967 2012-08-01 5 32737
968 2012-09-01 5 26778
969 2012-10-01 5 34321
970 2012-11-01 5 42070
971 2012-12-01 5 36205
972 2013-01-01 5 36770
973 2013-02-01 5 30049
974 2013-03-01 5 30585
975 2013-04-01 5 38862
976 2013-05-01 5 39410
977 2013-06-01 5 32053
978 2013-07-01 5 302
979 2013-08-01 5 780
980 2013-09-01 5 1379
981 2013-10-01 5 1967
982 2013-11-01 5 2636
983 2013-12-01 5 2661
984 2014-01-01 5 4035
985 2014-02-01 5 4027
986 2014-03-01 5 6182
987 2014-04-01 5 6766
988 2014-05-01 5 5862
989 2014-06-01 5 7870
990 2014-07-01 5 8291
991 2014-08-01 5 7025
992 2014-09-01 5 9342
993 2014-10-01 5 10024
994 2014-11-01 5 8663
995 2014-12-01 5 11691
996 2015-01-01 5 10130
997 2015-02-01 5 13406
